product_id,product_name,product_price,product_stock,product_description,product_group_id
1,"Smartphone XYZ",599,100,"Feature-packed smartphone with XYZ capabilities.",1
2,"Laptop ABC",1099,50,"High-performance laptop with ABC processor.",1
3,"Refrigerator Model 123",899,30,"Energy-efficient refrigerator with advanced cooling features.",2
4,"Outdoor Tent",199,200,"Durable tent suitable for camping and outdoor activities.",20
5,"Men's Casual Shirt",39,300,"Comfortable cotton shirt for everyday wear.",3
6,"Living Room Sofa Set",799,20,"Elegant sofa set for living room decor.",4
7,"Children's Story Book Collection",29,500,"Set of popular children's story books.",5
8,"Educational Toy Set",49,150,"Interactive educational toys for toddlers.",6
9,"Home Gym Equipment",699,15,"Complete home gym setup for fitness enthusiasts.",7
10,"Skincare Kit",79,200,"Complete skincare regimen for healthy skin.",8
11,"Diamond Necklace",2999,5,"Exquisite diamond necklace for special occasions.",9
12,"Medical Wheelchair",399,10,"Foldable wheelchair for medical use.",10
13,"Organic Food Basket",59,100,"Assorted organic food items and snacks.",11
14,"Office Stationery Bundle",19,500,"Basic stationery items for office use.",12
15,"Gardening Tool Kit",129,50,"Essential tools for gardening and landscaping.",13
16,"Car Engine Oil",29,300,"High-quality engine oil for automotive maintenance.",14
17,"Pet Grooming Kit",49,100,"Complete grooming kit for pets.",15
18,"Music Album Collection",9,1000,"Assorted music albums in various genres.",16
19,"Artists' Paint Set",39,200,"Complete paint set for artists and hobbyists.",17
20,"Home Decorative Vase",49,150,"Elegant decorative vase for home interiors.",18
21,"Travel Backpack",79,300,"Durable backpack with multiple compartments for travel.",19
22,"Camping Sleeping Bag",59,200,"Warm and comfortable sleeping bag for camping.",20
23,"Smartphone ABC",699,100,"Feature-packed smartphone with ABC capabilities.",1
24,"Laptop XYZ",1299,50,"High-performance laptop with XYZ processor.",1
25,"Refrigerator Model 456",999,30,"Energy-efficient refrigerator with advanced cooling features.",2
26,"Outdoor Hammock",149,200,"Comfortable hammock suitable for outdoor relaxation.",20
27,"Women's Formal Dress",59,300,"Elegant formal dress for women.",3
28,"Bedroom Wardrobe",899,20,"Spacious wardrobe for bedroom storage.",4
29,"Children's Educational Book Set",39,500,"Set of educational books for children.",5
30,"Building Blocks Set",29,150,"Colorful building blocks for creative play.",6
31,"Yoga Mat and Accessories",79,15,"Complete yoga mat and accessories set.",7
32,"Makeup Kit",89,200,"Complete makeup kit for beauty enthusiasts.",8
33,"Pearl Necklace",1999,5,"Exquisite pearl necklace for special occasions.",9
34,"Medical Crutches",299,10,"Adjustable medical crutches for mobility assistance.",10
35,"Healthy Snack Pack",39,100,"Assorted healthy snacks and beverages.",11
36,"School Backpack",29,500,"Durable backpack for school and travel.",12
37,"Gardening Gloves",19,50,"Comfortable gardening gloves for outdoor tasks.",13
38,"Car Seat Cover",39,300,"Protective seat cover for cars.",14
39,"Pet Food Variety Pack",29,100,"Assorted pet food flavors for pets.",15
40,"Movie DVD Collection",19,1000,"Assorted movie DVDs in various genres.",16
41,"Watercolor Paint Set",29,200,"Complete watercolor paint set for artists.",17
42,"Home Decorative Cushion",19,150,"Soft decorative cushion for home interiors.",18
43,"Travel Luggage Set",129,300,"Durable luggage set for travel.",19
44,"Camping Lantern",39,200,"Portable lantern for camping and outdoor use.",20
45,"Smartwatch XYZ",399,100,"Feature-packed smartwatch with XYZ capabilities.",1
46,"Gaming Laptop ABC",1499,50,"High-performance gaming laptop with ABC processor.",1
47,"Refrigerator Model 789",1099,30,"Energy-efficient refrigerator with advanced cooling features.",2
48,"Outdoor Backpack",79,200,"Durable backpack suitable for outdoor adventures.",20
49,"Men's Formal Suit",199,300,"Classic formal suit for men.",3
50,"Home Office Desk",499,20,"Stylish desk for home office setup.",4
51,"Children's Puzzle Game",19,500,"Educational puzzle game for children.",5
52,"Board Game Set",49,150,"Collection of popular board games for family fun.",6
53,"Fitness Tracker",49,15,"Advanced fitness tracker for health monitoring.",7
54,"Cosmetic Gift Set",59,200,"Luxurious cosmetic gift set for special occasions.",8
55,"Gold Bracelet",999,5,"Elegant gold bracelet for special occasions.",9
